 53553.00       0.000     -22.664 8 
 53553.58       0.000     -23.105 8 
 53554.00       0.000     -23.419 8 
 53554.58       0.000     -23.821 8 
 53555.00       0.000     -24.093 8 
 53555.58       0.000     -24.505 8 
 53556.00       0.000     -24.816 8 
 53556.58       0.000     -25.253 8 
 53557.00       0.000     -25.561 8 
 53557.58       0.000     -25.992 8 
 53558.00       0.000     -26.305 8 
 53558.58       0.000     -26.755 8 
 53559.00       0.000     -27.082 8 
 53559.58       0.000     -27.549 8 
 53560.00       0.000     -27.884 8 
 53560.58       0.000     -28.358 8 
 53561.00       0.000     -28.699 8 
 53561.58       0.000     -29.200 8 
 53562.00       0.000     -29.567 8 
 53562.58       0.000     -30.075 8 
 53563.00       0.000     -30.444 8 
 53563.58       0.000     -30.942 8 
 53564.00       0.000     -31.292 8 
 53564.58       0.000     -31.777 8 
 53565.00       0.000     -32.126 8 
 53565.58       0.000     -32.610 8 
 53566.00       0.000     -32.953 8 
 53566.58       0.000     -33.419 8 
 53567.00       0.000     -33.748 8 
 53567.58       0.000     -34.225 8 
 53568.00       0.000     -34.571 8 
 53568.58       0.000     -35.040 8 
 53569.00       0.000     -35.366 8 
 53569.58       0.000     -35.840 8 
 53570.00       0.000     -36.180 8 
 53570.58       0.000     -36.702 8 
 53571.00       0.000     -37.082 8 
 53571.58       0.000     -37.634 8 
 53572.00       0.000     -38.033 8 
 53572.58       0.000     -38.567 8 
 53573.00       0.000     -38.937 8 
 53573.58       0.000     -39.470 8 
 53574.00       0.000     -39.851 8 
 53574.58       0.000     -40.299 8 
 53575.00       0.000     -40.614 8 
 53575.58       0.000     -41.145 8 
 53576.00       0.000     -41.512 8 
 53576.58       0.000     -42.007 8 
 53577.00       0.000     -42.344 8 
 53577.58       0.000     -42.988 8 
 53578.00       0.000     -43.451 8 
 53578.58       0.000     -44.018 8 
 53579.00       0.000     -44.425 8 
 53579.58       0.000     -45.002 8 
 53580.00       0.000     -45.384 8 
 53580.58       0.000     -46.074 8 
 53581.00       0.000     -46.568 8 
 53581.58       0.000     -47.212 8 
 53582.00       0.000     -47.681 8 
 53582.58       0.000     -48.309 8 
 53583.00       0.000     -48.752 8 
 53583.58       0.000     -49.491 8 
 53584.00       0.000     -49.988 8 
 53584.58       0.000     -50.761 8 
 53585.00       0.000     -51.342 8 
 53585.58       0.000     -52.051 8 
 53586.00       0.000     -52.579 8 
 53586.58       0.000     -53.296 8 
 53587.00       0.000     -53.813 8 
 53587.58       0.000     -54.522 8 
 53588.00       0.000     -55.024 8 
 53588.58       0.000     -55.725 8 
 53589.00       0.000     -56.225 8 
 53589.58       0.000     -56.910 8 
 53590.00       0.000     -57.405 8 
 53590.58       0.000     -58.102 8 
 53591.00       0.000     -58.607 8 
 53591.58       0.000     -59.295 8 
 53592.00       0.000     -59.787 8 
 53592.58       0.000     -60.463 8 
